Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,transp,evap,interc,wd,prec,SoilC,SoilC_slow,LitC,VegC,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1500,-0.000846986,0.00448321,0.00243452,0.00328151,1.91432e-05,-8.55307e-09,2.80633e-05,9.60741e+08,0.000112652,0,-0.000965729,0.00216119,0.000376702,0.000132244,0,0.00319968,0.0748723,0.0263546,0.0023069,0.00345024,0,4.53265e-05,8.8288e-06,8.28973e-06,7.79245e-06,6.68911e-07,-1.93817e-11,2.54782e-07,4.48227e-06,0,0.00446492,0.00163654,3.90902e-05,0.000157759,0,0.00141109,0.000141109
1501,-0.000437889,0.00485839,0.00270993,0.00314782,1.8576e-05,-2.06917e-08,2.05479e-05,9.57586e+08,0.000189112,6.90645e-11,-0.000626141,0.00218,0.000385588,0.000186099,4.97077e-08,0.00378006,0.0743821,0.0263528,0.0021275,0.00349375,1.63203e-09,4.36649e-05,1.01119e-05,1.56443e-05,8.60799e-06,6.49758e-07,-4.71078e-11,1.86445e-07,7.12147e-06,1.41291e-13,0.00445224,0.00163646,3.53284e-05,0.000160002,3.33878e-12,0.00141109,0.000141109
1502,0.000138874,0.00560932,0.00323233,0.00309346,1.83113e-05,0,5.29115e-05,9.5443e+08,0.000184515,6.31685e-11,-7.74403e-05,0.00275683,0.000495796,0.000250657,6.18748e-08,0.0046588,0.0741829,0.0263503,0.00204799,0.00369499,1.56886e-09,4.72751e-05,1.63888e-05,1.66957e-05,1.08403e-05,6.40799e-07,0,5.34501e-07,6.65351e-06,1.29229e-13,0.0044467,0.00163632,3.5698e-05,0.00015632,3.20955e-12,0.00141109,0.000141109
1503,0.000178732,0.00567513,0.00324265,0.00306392,1.84076e-05,0,5.28889e-05,9.51275e+08,0.000185998,5.7852e-11,-3.8957e-05,0.00284224,0.00049942,0.000261893,9.48474e-08,0.0046588,0.0741347,0.0263475,0.00207728,0.00367495,1.51101e-09,4.82619e-05,1.69091e-05,1.48788e-05,1.09239e-05,6.43989e-07,0,5.49828e-07,6.49945e-06,1.18352e-13,0.00444216,0.00163614,3.72731e-05,0.000150116,3.0912e-12,0.00141109,0.000141109
1504,0.00025278,0.00581172,0.00332989,0.00307711,1.83577e-05,0,2.18589e-05,9.48119e+08,0.000164334,5.30571e-11,8.77258e-05,0.00302337,0.000594247,0.000439475,1.60345e-07,0.00933876,0.0742908,0.0263449,0.00223257,0.00345125,1.45795e-09,4.93688e-05,1.78757e-05,1.41756e-05,1.12597e-05,6.42379e-07,0,2.44408e-07,5.54657e-06,1.08543e-13,0.0044444,0.00163598,4.25807e-05,0.00013576,2.98265e-12,0.00141109,0.000141109
1505,0.000147877,0.00574584,0.00329156,0.00314368,1.83744e-05,0,0.000100466,9.44955e+08,0.000193834,4.87319e-11,-0.000125277,0.00283365,0.000473653,0.000179334,1.49052e-07,0.00413148,0.074233,0.0263433,0.00217416,0.00344222,1.40922e-09,4.90744e-05,1.79765e-05,1.36581e-05,1.11668e-05,6.42831e-07,0,1.08712e-06,6.66343e-06,9.96947e-14,0.00444106,0.00163586,4.08472e-05,0.000129172,2.88296e-12,0.00141109,0.000141109
1506,0.000160265,0.00559251,0.00319956,0.0030393,1.82329e-05,0,3.64499e-05,9.418e+08,0.00019525,4.48293e-11,-5.0441e-05,0.00256585,0.000456558,0.000204971,2.61335e-07,0.0043985,0.0741509,0.0263402,0.00234369,0.00330435,1.36439e-09,5.13827e-05,1.45455e-05,1.39172e-05,1.02035e-05,6.3794e-07,0,4.01854e-07,6.57103e-06,9.17109e-14,0.00443403,0.00163567,4.37873e-05,0.000123685,2.79125e-12,0.00141109,0.000141109
1507,0.000312601,0.00611786,0.00349156,0.00317895,1.81784e-05,0,1.53894e-05,9.38645e+08,0.000153244,4.13073e-11,0.000164897,0.00312907,0.000619703,0.000246874,3.03798e-07,0.00564002,0.0743497,0.0263391,0.0024531,0.00316102,1.32309e-09,5.31434e-05,1.84943e-05,1.16258e-05,1.09567e-05,6.36167e-07,0,1.78564e-07,5.36478e-06,8.45057e-14,0.00443955,0.00163557,4.79624e-05,0.000110118,2.70674e-12,0.00141109,0.000141109
1508,0.00026348,0.00613751,0.00350975,0.00324627,1.81257e-05,0,1.59181e-05,9.35489e+08,0.000186284,3.81279e-11,8.21455e-05,0.0031323,0.000546146,0.000338373,3.26425e-07,0.00700985,0.074472,0.0263389,0.0024567,0.0031173,1.28496e-09,5.33948e-05,1.93294e-05,1.12495e-05,1.12152e-05,6.34395e-07,0,1.81164e-07,5.72875e-06,7.80013e-14,0.00444282,0.00163553,4.81086e-05,0.000101521,2.62874e-12,0.00141109,0.000141109
