Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,transp,evap,interc,prec,SoilC,SoilC_slow,LitC,VegC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
1500,-0.000394473,0.00502419,0.00274236,0.00313683,3.39107e-07,-1.02744e-08,3.37589e-05,-0.000427882,0.00250029,0.000177254,0.000151556,0.00319968,0.0746063,0.0263527,0.00246472,0.00411135,4.86168e-05,9.62346e-06,6.22901e-06,7.35273e-06,1.12625e-08,-2.32836e-11,3.06552e-07,0.00444568,0.0016364,3.88817e-05,0.00018793
1501,-0.000218195,0.00532049,0.00297793,0.00319612,-1.84768e-08,-1.24031e-08,2.45002e-05,-0.000242701,0.00247252,0.000199532,0.000211425,0.00378006,0.0743642,0.0263516,0.0023979,0.00417759,4.41289e-05,1.08051e-05,8.8367e-06,7.25681e-06,-6.57026e-10,-2.82377e-11,2.20931e-07,0.00443978,0.00163635,3.81127e-05,0.000191138
1502,0.000361828,0.00621905,0.00359838,0.00323655,-2.01924e-07,0,6.35829e-05,0.000298044,0.00315547,0.000194123,0.000294572,0.0046588,0.0744703,0.026351,0.00236242,0.00440503,4.89585e-05,1.83079e-05,9.30537e-06,1.00176e-05,-6.76066e-09,0,6.38301e-07,0.00444551,0.00163632,4.00753e-05,0.000186889
1503,0.000350241,0.00629075,0.00361223,0.00326199,-2.80061e-08,0,6.31531e-05,0.00028706,0.00325172,0.000193148,0.000307411,0.0046588,0.0747007,0.0263508,0.00240656,0.00441754,5.01997e-05,1.88636e-05,7.37621e-06,1.00853e-05,-9.65005e-10,0,6.4705e-07,0.00445226,0.00163629,4.19584e-05,0.000181211
1504,0.000345382,0.00637878,0.0036551,0.00330971,1.87476e-08,0,2.49454e-05,0.000320455,0.00345627,0.00023456,0.000517692,0.00933876,0.0751084,0.0263513,0.00257012,0.0041667,5.06115e-05,2.02538e-05,7.67193e-06,1.11143e-05,6.13015e-10,0,2.71776e-07,0.00446602,0.0016363,4.73551e-05,0.000166565
1505,0.000221703,0.00632283,0.00362047,0.00339877,7.91049e-08,0,0.000113994,0.000107788,0.00323325,0.000198756,0.000211454,0.00413148,0.0752738,0.0263528,0.00250992,0.00416934,5.02586e-05,2.03617e-05,6.73412e-06,9.86553e-06,2.60487e-09,0,1.20736e-06,0.00447392,0.00163638,4.55859e-05,0.000159517
1506,0.000205787,0.00611843,0.00349848,0.00329269,-2.16253e-08,-3.11522e-09,4.23782e-05,0.00016339,0.00290992,0.000224601,0.00024044,0.0043985,0.0753854,0.0263529,0.00270859,0.00402246,5.25354e-05,1.58118e-05,7.83293e-06,8.67985e-06,-7.63645e-10,-6.75073e-12,4.54955e-07,0.00447713,0.00163638,4.89176e-05,0.000153582
1507,0.000384938,0.00677227,0.00385767,0.00347273,2.75861e-08,0,1.78711e-05,0.000367095,0.00359625,0.000260061,0.000296108,0.00564002,0.0758098,0.0263554,0.00282508,0.00384869,5.49666e-05,2.11736e-05,5.75761e-06,1.06861e-05,9.03482e-10,0,2.03301e-07,0.00449503,0.0016365,5.36714e-05,0.00013817
1508,0.000300776,0.00677835,0.00385617,0.00355539,2.67579e-08,0,1.84577e-05,0.000282345,0.00357653,0.000243514,0.000402548,0.00700985,0.0761316,0.026359,0.00283093,0.00380334,5.57331e-05,2.18198e-05,4.41256e-06,1.01943e-05,9.05151e-10,0,2.0662e-07,0.00451015,0.00163669,5.41297e-05,0.000127963
1509,-8.0307e-05,0.00580077,0.00344045,0.00352076,4.30106e-08,0,8.10147e-05,-0.000161279,0.00291658,0.000268984,0.000213031,0.00390322,0.0759982,0.026362,0.002644,0.00396244,5.28784e-05,1.8024e-05,8.12729e-06,9.27705e-06,1.45892e-09,0,8.40289e-07,0.00451009,0.00163686,4.71231e-05,0.000134984
1510,6.61759e-05,0.005991,0.00355736,0.00349118,4.7518e-09,0,4.7546e-05,1.86346e-05,0.0031149,0.000222486,0.00029434,0.00487015,0.0761246,0.0263646,0.00253911,0.00395951,5.17635e-05,1.74945e-05,7.15868e-06,9.78394e-06,2.51302e-10,0,4.8805e-07,0.00451607,0.001637,4.45705e-05,0.000133758
1511,-4.79897e-05,0.00574449,0.00341394,0.00346193,1.94483e-08,-1.48532e-09,3.33673e-05,-8.13361e-05,0.00312981,0.00023181,0.000232203,0.00405584,0.0760718,0.0263667,0.00242635,0.00404372,5.05473e-05,1.72018e-05,8.32237e-06,9.63936e-06,7.39287e-10,-3.37601e-12,3.35003e-07,0.00451588,0.00163711,4.08742e-05,0.000139035
1512,0.000236026,0.00639024,0.00362272,0.0033867,1.41782e-08,0,1.75121e-05,0.000218528,0.00346268,0.000227155,0.000386066,0.00700985,0.0763802,0.0263678,0.00257705,0.00380314,5.44879e-05,2.01031e-05,4.5088e-06,1.01514e-05,5.99953e-10,0,1.93624e-07,0.00452443,0.00163714,4.623e-05,0.000130754
1513,-0.000102852,0.00572216,0.00327476,0.00337762,2.8989e-08,-3.51391e-08,3.80716e-05,-0.00014086,0.00291034,0.000168247,0.000189102,0.00364101,0.076035,0.0263687,0.00253949,0.0040451,5.04178e-05,1.29581e-05,5.38352e-06,8.39365e-06,9.25907e-10,-6.93989e-11,3.75311e-07,0.00451569,0.00163719,4.26551e-05,0.000141178
1514,0.000456589,0.00673384,0.00386109,0.00340451,2.81626e-08,0,1.84351e-05,0.000438182,0.00356275,0.000249082,0.00028126,0.00564002,0.0765799,0.02637,0.00277245,0.00370535,5.72504e-05,1.99402e-05,5.40916e-06,1.07754e-05,9.09743e-10,0,2.09728e-07,0.00453274,0.00163723,5.1455e-05,0.00012504
1515,-0.000823518,0.00477431,0.00264259,0.00346611,5.00724e-07,-2.13971e-08,2.6303e-05,-0.000849299,0.00243806,0.000231765,0.00017254,0.0029119,0.0759855,0.0263721,0.00243923,0.00378376,4.2915e-05,8.45418e-06,5.95051e-06,7.48045e-06,1.66502e-08,-4.88738e-11,2.47294e-07,0.00451931,0.00163738,4.03223e-05,0.000139935
1516,-0.000340258,0.00511249,0.00291456,0.00325482,9.1901e-08,-6.56047e-09,0.000235066,-0.000575226,0.00229063,0.000176644,0.000160383,0.00292737,0.0756214,0.0263714,0.00215911,0.00385274,5.59045e-05,8.79117e-06,8.34228e-06,7.313e-06,3.02319e-09,-1.47213e-11,2.29787e-06,0.00450847,0.00163735,3.55149e-05,0.000155928
1517,0.000601772,0.00630307,0.00372813,0.00312636,-5.05857e-07,-1.51032e-09,6.0573e-05,0.000540694,0.00303812,0.000205889,0.000176104,0.00413564,0.0756716,0.0263689,0.00241135,0.00409099,5.59717e-05,1.63192e-05,1.05427e-05,9.69943e-06,-1.68921e-08,-3.19626e-12,6.45584e-07,0.00450889,0.00163721,4.30997e-05,0.000152356
1518,-8.49504e-05,0.00544812,0.00318296,0.00326791,7.85493e-08,-5.48124e-09,0.00012099,-0.000205857,0.00260609,0.000197697,0.000184685,0.00324772,0.0754867,0.0263684,0.00230621,0.00417512,4.91792e-05,1.08746e-05,6.80342e-06,8.40096e-06,2.57781e-09,-1.19049e-11,1.14161e-06,0.0045005,0.00163719,3.88396e-05,0.000160488
1519,0.000447834,0.0061905,0.00365538,0.00320755,-2.08173e-08,0,6.0875e-05,0.000386938,0.00300064,0.000197548,0.000193646,0.00413564,0.0756977,0.0263672,0.00252172,0.00413558,5.58545e-05,1.64845e-05,9.0314e-06,9.61767e-06,-7.20894e-10,0,6.43453e-07,0.00450412,0.00163712,4.43388e-05,0.00015654
